Time, PositionX, PositionY, PositionZ, PositionRX, PositionRY, PositionRZ, PositionJ1, PositionJ2, PositionJ3, PositionJ4, PositionJ5, PositionJ6
2024-11-07 16:41:07.594, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:08.108, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:08.605, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:09.117, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:09.629, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:10.152, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:10.665, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:11.162, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:11.675, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:12.189, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:12.693, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:13.221, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:13.721, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:14.240, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:14.740, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:15.253, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:15.762, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:16.289, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:16.794, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:17.293, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:17.808, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
